Port Name,In FreeBSD Security,In BlackArch Porting
evil-winrm-py,NÃO,SIM
evilclippy,NÃO,SIM
evilgrade,NÃO,SIM
evilize,NÃO,SIM
evillimiter,NÃO,SIM
evilmaid,NÃO,SIM
evilpdf,NÃO,SIM
evine,NÃO,SIM
evtkit,NÃO,SIM
exabgp,NÃO,SIM
exe2hex,NÃO,SIM
exe2image,NÃO,SIM
exescan,NÃO,SIM
exiflooter,NÃO,SIM
exitmap,NÃO,SIM
expimp-lookup,NÃO,SIM
expiretable,SIM,NÃO
exploit-pattern,SIM,NÃO
exploitpack,NÃO,SIM
expose,NÃO,SIM
express,NÃO,SIM
exrex,NÃO,SIM
ext4magic,NÃO,SIM
extended-ssrf-search,NÃO,SIM
extractbitlockerkeys,NÃO,SIM
extracthosts,NÃO,SIM
